Hugo_Symbol	Entrez_Gene_Id	GTEX-13NYB-1726-SM-5N9G2	GTEX-QDVN-1626-SM-48TZC	GTEX-ZYT6-2226-SM-5GIC9	GTEX-11TTK-1926-SM-5PNW8	GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZVZP-0926-SM-5GIDB	GTEX-P4QS-1126-SM-3NMD5	GTEX-RN64-1626-SM-48FD7	GTEX-ZYFG-1626-SM-5GZYY	GTEX-N7MS-1626-SM-3LK5F	GTEX-13OW6-1826-SM-5N9F9	GTEX-T5JC-1526-SM-4DM68	GTEX-ZLFU-0926-SM-5P9F8	GTEX-1497J-0826-SM-5NQAJ	GTEX-13112-2126-SM-5GCO4	GTEX-UPIC-1126-SM-4IHLO	GTEX-145MN-0326-SM-5QGQI	GTEX-13O1R-2526-SM-5N9FW	GTEX-11GS4-2326-SM-5A5KS	GTEX-13OVI-1126-SM-5KLZF	GTEX-XPVG-0526-SM-4B65N	GTEX-13OVL-1826-SM-5KLZR	GTEX-QLQW-1626-SM-4R1K1	GTEX-12696-0926-SM-5FQTV	GTEX-1399S-0526-SM-5IJG8	GTEX-147F4-2626-SM-5Q5CS	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-Y5V6-2026-SM-5IFHO	GTEX-NPJ8-2226-SM-3TW8D	GTEX-11OF3-1326-SM-5N9FJ	GTEX-ZYFD-1526-SM-5NQ7T	GTEX-12WSG-0826-SM-5EQ5A
METTL21B	25895	420.68	406.31	130.6	215.77	249.73	116.78	303.44	228.13	131.51	525.39	232.94	341.51	237.86	334.46	177.53	336.79	191.67	228.13	87.03	265.87	228.13	183.82	166.73	185.11	85.82	323.03	145.02	220.32	150.17	239.52	139.07	217.27
VSTM2B	342865	1.27	2.32	0.21	0.57	0.35	0.39	0	0	0	1.91	0	1.53	0	0	0.38	0	0	0	0.34	0.22	0.53	1.06	0.39	0	0	1.14	1.91	0.36	0.45	0.41	2.16	0
TXNDC16	57544	80.57	64.8	273.37	301.33	57.08	129.69	49.21	229.72	175.07	31.45	144.01	121.79	190.34	81.71	206.94	88.88	109.66	63	147.06	356.05	98.73	256.78	88.88	105.89	135.24	229.72	124.37	89.51	73.03	113.56	56.68	110.43
ZBTB49	166793	42.71	38.67	80.01	27.05	55.49	65.72	55.1	74.06	68.55	47.84	33.06	39.22	75.64	43.63	90.77	62.12	25.72	67.59	58.3	57.49	46.84	71.5	56.68	54.33	78.34	91.41	27.84	35	52.82	61.68	42.71	58.3
SYT1	6857	27.05	7.82	105.15	17.64	25.91	25.35	13.32	791.35	51.35	22.92	46.84	16.27	35	26.67	180.02	18.56	26.67	19.53	25.72	115.97	22.75	208.38	34.02	82.29	31	28.65	25.54	9.78	12.18	20.56	6.36	28.04
OPCML	4978	43.32	0	473.41	14.03	3.72	61.68	6.21	130.6	55.1	242.88	28.45	99.43	55.1	1.46	253.23	15	17.77	3.47	24.46	12.74	30.34	111.21	22.43	108.9	2.34	120.94	127.89	15.91	1.23	27.05	44.25	10.96
ZNF781	163115	72.52	1.73	77.79	69.52	43.94	64.8	52.08	78.89	72.01	108.9	76.71	41.52	75.11	40.64	53.95	18.56	45.21	4.94	45.53	79.45	9.48	187.71	21.47	7.63	27.84	78.89	69.03	20.26	237.86	55.1	18.43	14.24
DPP9	91039	231.32	271.48	177.53	323.03	320.8	423.61	314.17	603.67	454.09	193.01	246.28	199.85	343.89	470.14	473.41	420.68	373.81	476.71	325.29	285.03	466.88	307.69	591.22	660.68	483.38	343.89	420.68	275.28	511	131.51	389.72	376.41
TEX2	55852	334.46	476.71	525.39	493.56	420.68	379.04	579.04	674.59	674.59	161.02	316.37	988.12	412	435.55	529.06	480.04	532.74	183.82	470.14	493.56	441.64	536.45	463.65	1111.82	525.39	660.68	381.68	842.36	312	205.5	293.07	529.06
MRGPRX2	117194	0	0.26	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0.95	0	0.58	0	0	2.23	0	0	0	0	0	0	0
PDZD9	255762	5.15	2.36	4.66	0	2.92	2.89	3.82	2.46	6.11	10.79	0	5.02	4.62	1.38	4.58	5.32	4.7	1.33	2.39	6.67	2.12	4.7	1.38	1.28	2.73	2.46	3.5	8.19	3.11	2.81	13.83	0
LIPN	643418	0	0	0	1.75	3.03	0	2.53	0	0	0	0	0	0	2.1	0	2.89	0	1.75	0	2.01	1.31	0	2.1	0	0	4.82	0	0	0	2.23	0	3.29
C11orf31	280636	4239.45	2119.22	3060.45	3589.58	2627.46	1936.53	1745.2	2148.82	1950	4575.41	2384.37	2777.33	2178.83	2119.22	2682.69	1819.35	2018.8	2148.82	1977.24	1594.73	1674.06	2367.9	2271.4	2119.22	2004.85	2351.53	3349.13	1733.13	2287.2	4607.24	1662.49	2758.13
RAP1A	5906	1936.53	1096.5	2119.22	3540.14	1167.14	1350.18	1540.37	1963.57	2133.97	2468.49	1277.29	2018.8	1794.29	1340.84	1896.65	1199.98	2119.22	1127.35	1923.14	2075.59	1651	2468.49	1519.15	2061.24	1340.84	2384.37	2193.99	1605.83	2319.15	1295.13	3665.02	1250.98
COL4A5	1287	201.25	58.3	1709.26	371.22	209.84	206.94	115.16	2032.85	400.71	59.13	1111.82	403.5	206.94	162.14	1487.87	406.31	256.78	182.55	660.68	265.87	339.14	2720.15	108.14	616.37	76.17	483.38	218.79	182.55	190.34	511	500.46	157.68
TRPV3	162514	1.39	4.1	3.5	7.94	3.92	10.16	2.48	19.82	3.63	0.18	3.23	2.78	21.47	2.86	1.99	4.17	0.39	3.59	0.8	11.21	5.19	5.15	0.92	3.82	14.24	2.58	0.09	0.88	8.13	3.56	0.09	6.31
ARAF	369	1378.57	1936.53	2384.37	1498.22	1397.83	1572.76	1594.73	1388.16	1359.57	1477.58	1369.04	1008.9	2319.15	1540.37	2319.15	1639.59	1467.37	1096.5	1359.57	1167.14	1487.87	1583.71	1030.12	1437.15	1605.83	1175.27	1963.57	1605.83	1819.35	1313.23	1359.57	1378.57
SOX10	6663	3.17	0.47	3.79	23.93	3.38	4.74	1.31	2.97	4.58	4.28	6.31	3.89	9.2	4.9	3.14	12.83	2.14	4.31	2.46	3.72	5.63	36.53	2.73	0.3	3.23	21.94	2.66	0.92	7.06	1.73	8.92	4.13
INSL5	10022	0	0.47	3.14	0.42	2.78	0.66	1.07	3.47	0	0	0.71	0	0.91	0	3.99	0.75	3.47	0.42	0	0	1.91	2.23	0	0.47	0	0.53	0	0	3.96	1.45	2.51	0.73
ECEL1	9427	1.08	25.35	0.61	20.86	41.81	12.27	85.22	4.06	4.86	7.57	2.63	13.42	32.82	112.77	1.27	84.63	90.14	32.36	41.22	43.63	32.13	0.79	37.85	5.41	9.78	120.94	24.99	41.22	72.01	12.83	42.71	21.78
RNFT1	51136	113.56	159.9	102.25	85.82	239.52	262.2	208.38	295.11	228.13	85.82	80.57	149.12	320.8	297.17	159.9	221.86	244.57	215.77	253.23	397.93	277.2	136.19	211.31	150.17	414.87	281.09	119.26	299.25	101.54	105.15	145.02	205.5
RP11-793H13.10	0	5.5	3.53	19.97	5.73	28.04	15	3.69	48.52	7.63	2.16	5.63	21.47	34.51	11.3	33.3	7.34	2.81	12.55	12	8.85	16.63	13.42	2.71	14.24	19.39	27.05	15.68	0.92	70.51	5.54	47.5	13.93
RP11-15E18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24	0	0	0	0	0	0	0	3.86	0	0	0	5.45	0	0
